RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
104,"Tyreke Evans, SG",MEM,20,28.6,1.98,-0.69,1.29,1.51
105,"Taj Gibson, PF",MIN,22,32.5,-0.40,1.41,1.01,1.70
106,"Danny Green, SG",SA,20,29.0,-0.95,1.17,0.22,1.09
107,"Blake Griffin, PF",LAC,19,35.8,2.43,-1.15,1.28,1.80
108,"James Harden, PG",HOU,21,36.0,8.07,-0.26,7.81,4.76
109,"Jrue Holiday, PG",NO,21,36.1,-0.36,0.01,-0.35,1.31
110,"Jonas Jerebko, PF",UTAH,16,15.3,-0.20,0.39,0.19,0.46
111,"James Johnson, PF",MIA,20,27.5,0.61,0.96,1.57,1.50
112,"Jodie Meeks, SG",WSH,21,17.2,-0.66,-0.96,-1.62,0.31
113,"Patty Mills, PG",SA,21,26.3,0.13,-1.07,-0.94,0.68
114,"Ricky Rubio, PG",UTAH,20,29.0,-0.49,-0.01,-0.50,0.92
115,"Jeff Teague, PG",MIN,18,33.9,1.13,-0.10,1.03,1.66
116,"Garrett Temple, SG",SAC,20,25.3,-1.10,-0.09,-1.19,0.54
117,"Wesley Matthews, SG",DAL,22,35.0,0.15,-1.51,-1.36,0.77
118,"Milos Teodosic, PG",LAC,2,16.0,-1.10,0.03,-1.07,0.05
119,"John Wall, PG",WSH,16,34.4,2.54,-0.32,2.22,1.91
120,"Eric Bledsoe, PG",MIL/PHX,12,29.8,-1.29,-0.77,-2.06,0.23
121,"Evan Turner, SG",POR,21,26.4,-3.12,0.44,-2.68,0.15
122,"Avery Bradley, SG",DET,20,31.7,-0.20,-1.15,-1.35,0.65
123,"Lance Stephenson, SG",IND,22,21.5,-0.74,-1.52,-2.26,0.24
124,"Wesley Johnson, SF",LAC,19,24.7,0.22,0.54,0.76,1.11
125,"Al-Farouq Aminu, PF",POR,8,30.1,-0.19,1.85,1.66,0.69
126,"Gordon Hayward, SF",BOS,1,5.0,-1.15,-0.06,-1.21,0.01
127,"Luke Babbitt, SF",ATL,17,19.6,0.40,0.19,0.59,0.80
128,"Paul George, SF",OKC,20,37.0,2.34,1.81,4.15,3.28
129,"Quincy Pondexter, SG",CHI,14,11.0,-2.29,-0.41,-2.70,0.04
130,"Derrick Favors, PF",UTAH,21,27.9,-1.42,1.29,-0.13,1.06
131,"DeMarcus Cousins, C",NO,21,35.5,2.73,2.74,5.47,3.94
132,"Ed Davis, PF",POR,21,18.5,-1.60,1.38,-0.22,0.65
133,"Greg Monroe, C",MIL/PHX,12,19.1,-2.17,0.23,-1.94,0.16
134,"Ekpe Udoh, C",UTAH,21,14.9,-1.16,1.98,0.82,0.75
135,"Hassan Whiteside, C",MIA,15,26.8,-1.32,3.42,2.10,1.29
136,"Patrick Patterson, PF",OKC,20,13.7,-1.48,-0.09,-1.57,0.26
137,"Cole Aldrich, C",MIN,5,2.0,-1.85,0.87,-0.98,0.01
138,"Nemanja Bjelica, PF",MIN,18,15.3,0.48,0.97,1.45,0.83
139,"Trevor Booker, PF",BKN,16,22.5,-0.72,-0.01,-0.73,0.47
140,"Timofey Mozgov, C",BKN,16,15.1,-2.98,0.97,-2.01,0.17
141,"Jeremy Lin, PG",BKN,1,25.0,-1.04,-0.50,-1.54,0.03
142,"Ish Smith, PG",DET,20,19.8,-0.42,-0.78,-1.20,0.44
143,"Boban Marjanovic, C",DET,3,6.3,-1.34,1.10,-0.24,0.02
144,"Mirza Teletovic, PF",MIL,10,15.9,-0.61,0.02,-0.59,0.26
145,"Davis Bertans, SF",SA,17,6.4,-0.24,-0.22,-0.46,0.18
146,"Bismack Biyombo, C",ORL,22,15.7,-3.26,0.20,-3.06,0.01
147,"Alec Burks, SG",UTAH,20,17.5,-1.06,-1.27,-2.33,0.17
148,"Jimmy Butler, SG",MIN,20,36.2,1.16,0.64,1.80,2.05
149,"Kenneth Faried, PF",DEN,17,12.6,-1.33,0.14,-1.19,0.24
150,"Tobias Harris, SF",DET,20,32.9,2.48,-1.55,0.93,1.54
151,"Kyrie Irving, PG",BOS,21,31.6,4.39,0.08,4.47,3.02
152,"Reggie Jackson, PG",DET,20,27.7,2.04,-0.98,1.06,1.35
153,"Cory Joseph, PG",IND,22,24.5,0.39,-1.24,-0.85,0.72
154,"Enes Kanter, C",NY,18,26.1,-0.14,0.72,0.58,1.06
155,"Jon Leuer, PF",DET,8,17.0,-2.18,1.04,-1.14,0.18
156,"DeAndre Liggins, SG",MIL,16,15.6,-1.71,-0.49,-2.20,0.13
157,"Shelvin Mack, PG",ORL,17,18.8,-0.21,-0.15,-0.36,0.58
158,"E'Twaun Moore, SG",NO,21,30.3,0.29,-1.53,-1.24,0.75
159,"Markieff Morris, PF",WSH,14,22.6,-1.80,0.79,-1.01,0.37
160,"Marcus Morris, PF",BOS,12,23.6,-0.83,-0.05,-0.88,0.37
161,"Chandler Parsons, SF",MEM,17,19.9,1.44,0.09,1.53,1.01
162,"Iman Shumpert, SG",CLE,13,20.8,-1.92,0.39,-1.53,0.28
163,"Kyle Singler, SF",OKC,1,2.0,-1.58,0.58,-1.00,0.00
164,"Tristan Thompson, C",CLE,8,21.6,-1.68,-0.65,-2.33,0.09
165,"Klay Thompson, SG",GS,22,33.0,2.57,-0.68,1.89,2.24
166,"Jonas Valanciunas, C",TOR,16,20.3,-1.04,-0.09,-1.13,0.39
167,"Nikola Vucevic, C",ORL,22,29.8,0.92,1.67,2.59,2.24
168,"Kemba Walker, PG",CHA,19,35.2,4.31,-1.16,3.15,2.66
169,"Lance Thomas, SF",NY,18,14.6,-1.93,-0.21,-2.14,0.14
170,"Julyan Stone, PG",CHA,2,9.0,-1.24,0.03,-1.21,0.02
171,"Quincy Acy, SF",BKN,16,18.4,-1.29,0.32,-0.97,0.37
172,"Harrison Barnes, SF",DAL,22,35.4,-1.00,-1.80,-2.80,0.14
173,"Will Barton, SG",DEN,20,29.3,1.07,-1.81,-0.74,0.87
174,"Bradley Beal, SG",WSH,21,34.8,2.69,-0.58,2.11,2.27
175,"Jae Crowder, PF",CLE,21,25.9,-0.94,-0.83,-1.77,0.45
176,"Anthony Davis, PF",NO,20,35.1,2.53,1.72,4.25,3.30
177,"Andre Drummond, C",DET,20,33.1,-0.67,1.65,0.98,1.56
178,"Evan Fournier, SF",ORL,22,32.0,2.02,-1.30,0.72,1.61
179,"Draymond Green, PF",GS,21,31.6,0.82,2.98,3.80,2.78
180,"Maurice Harkless, SF",POR,21,25.1,-2.50,0.41,-2.09,0.32
181,"John Henson, PF",MIL,18,22.7,-1.66,0.89,-0.77,0.57
182,"Michael Kidd-Gilchrist, SF",CHA,14,25.2,-1.92,0.93,-0.99,0.44
183,"Jeremy Lamb, SG",CHA,20,29.0,1.50,-0.25,1.25,1.54
184,"Meyers Leonard, C",POR,6,10.5,-1.36,0.93,-0.43,0.11
185,"Damian Lillard, PG",POR,21,36.4,4.49,-0.41,4.08,3.25
186,"Khris Middleton, SF",MIL,19,36.8,1.38,-0.86,0.52,1.56
187,"Darius Miller, SF",NO,21,17.5,0.77,-0.79,-0.02,0.69
188,"Kyle O'Quinn, C",NY,21,16.8,-0.77,1.30,0.53,0.73
189,"Miles Plumlee, C",ATL,1,9.0,-1.85,1.02,-0.83,0.01
190,"Austin Rivers, PG",LAC,19,33.5,0.50,-1.25,-0.75,0.89
191,"Terrence Ross, SG",ORL,22,26.2,-1.19,0.64,-0.55,0.92
192,"Tomas Satoransky, SF",WSH,12,13.5,-1.09,-0.08,-1.17,0.14
193,"Mike Scott, PF",WSH,18,18.1,-1.16,-0.19,-1.35,0.35
194,"Dion Waiters, SG",MIA,19,31.4,-0.84,-0.25,-1.09,0.70
195,"Tyler Zeller, C",BKN,13,17.9,-1.41,0.54,-0.87,0.28
196,"Kent Bazemore, SG",ATL,20,28.3,-0.02,0.48,0.46,1.28
197,"John Holland, SG",CLE,4,4.3,-1.32,-0.17,-1.49,0.01
198,"Malcolm Delaney, PG",ATL,17,20.4,-1.73,-1.40,-3.13,0.00
199,"Jacob Pullen, PG",PHI,2,1.0,-1.28,-0.16,-1.44,0.00
200,"Justin Holiday, SG",CHI,18,34.2,-0.57,-0.25,-0.82,0.84
201,"C.J. Williams, SG",LAC,7,6.0,-1.53,0.45,-1.08,0.03
202,"Willie Reed, C",LAC,18,10.9,-0.42,0.25,-0.17,0.39
203,"JaMychal Green, PF",MEM,8,24.9,-0.77,-0.36,-1.13,0.21
204,"Jeff Withey, C",DAL,8,3.8,-1.61,0.65,-0.96,0.04
205,"Daniel Theis, PF",BOS,20,12.5,-1.75,0.46,-1.29,0.28
206,"Mason Plumlee, C",DEN,20,16.8,-1.90,0.18,-1.72,0.30
207,"Sean Kilpatrick, SG",BKN,14,11.6,-2.12,-0.52,-2.64,0.04
208,"Jack Cooley, PF",SAC,1,2.0,-1.63,0.91,-0.72,0.00
209,"Brandon Paul, SG",SA,21,11.6,-0.87,0.03,-0.84,0.35
210,"Tim Frazier, PG",WSH,21,17.2,-1.01,-0.10,-1.11,0.42
211,"Jamil Wilson, SF",LAC,1,2.0,-1.59,0.68,-0.91,0.00
212,"Troy Daniels, SG",PHX,23,15.2,0.39,-2.53,-2.14,0.20
213,"Kelly Olynyk, C",MIA,21,19.1,0.27,1.25,1.52,1.07
214,"Matthew Dellavedova, PG",MIL,13,20.0,-1.22,-1.31,-2.53,0.10
215,"Ian Clark, SG",NO,18,15.7,-1.37,-2.64,-4.01,-0.16
216,"Mike Muscala, PF",ATL,9,22.4,-2.02,0.77,-1.25,0.24
217,"CJ McCollum, SG",POR,20,36.3,1.91,-0.65,1.26,1.84
218,"Robert Covington, SF",PHI,20,31.4,3.00,2.51,5.51,3.25
219,"Victor Oladipo, SG",IND,21,33.1,1.83,0.53,2.36,2.27
220,"Tim Hardaway Jr., SF",NY,21,34.1,2.41,-0.73,1.68,2.02
221,"Tony Snell, SG",MIL,19,32.1,1.23,-1.57,-0.34,1.02
222,"Joe Young, PG",IND,12,5.6,-0.96,-1.01,-1.97,0.05
223,"Tarik Black, PF",HOU,16,9.3,-1.63,0.94,-0.69,0.20
224,"Jordan Clarkson, PG",LAL,21,22.6,0.38,-1.34,-0.96,0.61
225,"Okaro White, PF",MIA,6,13.3,-1.08,-0.09,-1.17,0.10
226,"Doug McDermott, SF",NY,21,22.9,-0.68,-1.06,-1.74,0.38
227,"Reggie Bullock, SF",DET,11,15.1,-1.40,0.18,-1.22,0.20
228,"Joe Harris, SG",BKN,20,23.2,2.19,-0.99,1.20,1.14
229,"Tyler Johnson, SG",MIA,20,27.4,-1.26,-1.23,-2.49,0.20
230,"T.J. McConnell, PG",PHI,20,24.4,-0.49,0.03,-0.46,0.81
231,"Langston Galloway, SG",DET,19,14.2,0.73,0.73,1.46,0.72
232,"Andre Roberson, SG",OKC,20,24.4,-2.47,1.63,-0.84,0.67
233,"Shabazz Napier, PG",POR,17,16.3,0.50,-0.26,0.24,0.55
234,"Alfonzo McKinnie, SF",TOR,7,3.6,-0.96,-0.02,-0.98,0.03
235,"Jerian Grant, PG",CHI,19,25.9,0.43,-1.77,-1.34,0.51
236,"Allen Crabbe, SG",BKN,18,27.3,0.52,-1.84,-1.32,0.60
237,"Eric Moreland, PF",DET,17,10.6,-1.89,0.68,-1.21,0.19
238,"Josh Huestis, SF",OKC,16,11.3,-1.77,0.76,-1.01,0.24
239,"Dwight Powell, PF",DAL,21,17.2,-1.41,2.26,0.85,0.79
240,"Gorgui Dieng, C",MIN,19,16.4,-1.70,-0.40,-2.10,0.17
241,"Malcolm Brogdon, PG",MIL,18,30.7,0.71,-1.15,-0.44,0.90
242,"Dorian Finney-Smith, SF",DAL,8,11.8,-1.28,-0.04,-1.32,0.10
243,"Ben McLemore, SG",MEM,9,19.2,-1.92,-0.37,-2.29,0.08
244,"Pat Connaughton, SG",POR,21,19.4,0.15,-0.44,-0.29,0.66
245,"Khem Birch, C",ORL,2,3.0,-1.27,0.05,-1.22,0.01
246,"Darrun Hilliard, SG",SA,3,8.7,-1.46,-0.34,-1.80,0.02
247,"Cody Zeller, C",CHA,16,19.5,-1.75,0.71,-1.04,0.39
248,"Frank Kaminsky, PF",CHA,19,24.6,-1.05,-1.65,-2.70,0.12
249,"James Ennis III, SF",MEM,19,25.9,-0.87,-0.62,-1.49,0.46
250,"Jonathon Simmons, SF",ORL,22,25.5,-0.24,-2.18,-2.42,0.23
251,"Jalen Jones, SF",NO,3,3.3,-1.15,-0.03,-1.18,0.01
252,"Ron Baker, SG",NY,5,11.4,-1.15,-0.06,-1.21,0.06
253,"Larry Nance Jr., PF",LAL,10,23.7,-1.06,1.37,0.31,0.43
254,"Spencer Dinwiddie, PG",BKN,20,26.0,2.97,-0.05,2.92,1.79
255,"Dewayne Dedmon, C",ATL,20,24.3,-0.27,0.37,0.10,0.99
256,"Kentavious Caldwell-Pope, SG",LAL,19,34.9,-0.18,0.20,0.02,1.22
257,"Johnny O'Bryant III, PF",CHA,8,9.4,-1.95,0.58,-1.37,0.09
258,"Rodney Hood, SG",UTAH,18,28.3,0.86,-1.80,-0.94,0.71
259,"Josh Richardson, SF",MIA,21,32.4,-2.94,1.49,-1.45,0.66
260,"Royce O'Neale, SF",UTAH,12,7.9,-1.34,0.23,-1.11,0.10
261,"Elfrid Payton, PG",ORL,13,26.2,-0.47,-0.82,-1.29,0.34
262,"James Michael McAdoo, SF",PHI,1,7.0,-1.55,0.33,-1.22,0.01
263,"Otto Porter Jr., SF",WSH,20,32.9,3.04,2.11,5.15,3.19
264,"Briante Weber, PG",HOU,3,4.0,-1.25,-0.96,-2.21,0.01
265,"Treveon Graham, SG",CHA,12,17.5,-1.48,-0.07,-1.55,0.22
266,"Abdel Nader, SF",BOS,11,7.0,-2.08,-0.47,-2.55,0.03
267,"Norman Powell, SF",TOR,16,22.9,-0.45,1.14,0.69,0.88
268,"Alex Len, C",PHX,20,23.0,-1.24,-0.03,-1.27,0.50
269,"Michael Carter-Williams, PG",CHA,9,17.3,-1.05,-0.49,-1.54,0.13
270,"Shane Larkin, PG",BOS,17,9.6,-1.50,-0.05,-1.55,0.16
271,"JaKarr Sampson, SF",SAC,2,6.5,-1.10,-0.04,-1.14,0.02
272,"Joffrey Lauvergne, C",SA,10,10.3,-2.14,-0.15,-2.29,0.05
273,"Maximilian Kleber, PF",DAL,16,14.3,-1.26,0.49,-0.77,0.29
274,"Raul Neto, PG",UTAH,14,14.0,-0.39,-0.27,-0.66,0.29
275,"Joe Ingles, SF",UTAH,21,29.4,1.30,0.89,2.19,2.01
276,"Aron Baynes, C",BOS,22,18.2,-2.95,2.65,-0.30,0.67
277,"Salah Mejri, C",DAL,18,12.2,-1.81,2.76,0.95,0.50
278,"Jake Layman, SF",POR,9,5.1,-1.16,-0.36,-1.52,0.04
279,"Marcus Paige, PG",CHA,1,3.0,-1.20,-0.70,-1.90,0.00
280,"Brice Johnson, PF",LAC,5,4.0,-1.24,0.63,-0.61,0.04
281,"TJ Warren, SF",PHX,23,30.9,-0.42,-1.54,-1.96,0.50
282,"Justin Anderson, SG",PHI,10,12.7,-1.54,-0.42,-1.96,0.10
283,"Tyler Cavanaugh, PF",ATL,11,9.5,-0.32,0.37,0.05,0.21
284,"Joel Bolomboy, PF",MIL,4,7.5,-1.84,0.67,-1.17,0.03
285,"Charles Cooke, SG",NO,2,2.5,-1.17,-0.30,-1.47,0.01
286,"Taurean Prince, SF",ATL,20,31.0,-1.06,-0.45,-1.51,0.65
287,"Buddy Hield, SG",SAC,19,22.6,0.03,-0.40,-0.37,0.68
288,"Marcus Smart, PG",BOS,20,30.8,-0.76,1.24,0.48,1.34
289,"Yogi Ferrell, PG",DAL,22,28.3,-0.43,0.30,-0.13,1.08
290,"Nik Stauskas, SG",PHI,3,6.3,-1.33,-0.33,-1.66,0.02
291,"Caris LeVert, SG",BKN,21,25.8,-1.41,-0.43,-1.84,0.40
292,"Ryan Arcidiacono, PG",CHI,1,5.0,-1.03,-0.74,-1.77,0.00
293,"Mangok Mathiang, PF",CHA,1,3.0,-1.72,0.56,-1.16,0.00
294,"Montrezl Harrell, PF",LAC,13,8.5,-1.07,1.22,0.15,0.22
295,"Jerami Grant, SF",OKC,20,22.4,-0.67,-0.28,-0.95,0.60
296,"Kris Dunn, PG",CHI,15,26.8,-2.51,0.21,-2.30,0.20
297,"Damyean Dotson, SG",NY,13,6.7,-1.24,-0.08,-1.32,0.09
298,"Sam Dekker, SF",LAC,16,9.5,-1.99,0.52,-1.47,0.15
299,"Fred VanVleet, PG",TOR,20,15.8,0.13,0.97,1.10,0.79
300,"Steven Adams, C",OKC,17,31.1,-0.96,1.75,0.79,1.26
301,"Nerlens Noel, C",DAL,18,12.5,-2.21,0.46,-1.75,0.19
302,"Willie Cauley-Stein, C",SAC,21,25.4,-1.97,0.55,-1.42,0.51
303,"Alex Poythress, SF",IND,7,2.9,-1.33,0.44,-0.89,0.03
304,"Alex Caruso, SG",LAL,2,9.5,-1.10,-0.85,-1.95,0.02
305,"Richaun Holmes, PF",PHI,8,11.1,-1.29,-0.04,-1.33,0.10
306,"Kyle Anderson, SF",SA,21,27.9,-0.79,1.21,0.42,1.16
307,"Shabazz Muhammad, SG",MIN,21,11.8,-1.76,-2.22,-3.98,-0.14
308,"Bryn Forbes, SG",SA,21,15.4,-0.18,-1.39,-1.57,0.29
309,"Jacob Wiley, SF",BKN,4,8.0,-1.40,0.49,-0.91,0.05
310,"Alex Abrines, SG",OKC,19,15.2,-0.34,-0.64,-0.98,0.40
311,"Mario Hezonja, SG",ORL,17,9.6,-1.39,-1.03,-2.42,0.07
312,"Willy Hernangomez, C",NY,13,10.5,-1.92,0.59,-1.33,0.13
313,"Matt Costello, SF",SA,1,11.0,-1.59,0.84,-0.75,0.02
314,"Gary Harris, SG",DEN,18,32.4,2.30,0.59,2.89,2.15
315,"Denzel Valentine, SF",CHI,19,28.7,-0.23,-0.96,-1.19,0.60
316,"Rudy Gobert, C",UTAH,12,33.8,-1.87,1.30,-0.57,0.66
317,"Giannis Antetokounmpo, PF",MIL,18,37.3,2.44,0.46,2.90,2.46
318,"Dario Saric, PF",PHI,20,27.9,-1.28,-0.86,-2.14,0.33
319,"Dennis Schroder, PG",ATL,18,32.1,1.49,-3.30,-1.81,0.49
320,"Lucas Nogueira, C",TOR,17,12.0,-0.83,1.62,0.79,0.49
321,"Bogdan Bogdanovic, SG",SAC,18,23.4,-1.23,-0.87,-2.10,0.25
322,"Derrick Walton Jr., PG",MIA,4,3.0,-0.86,-0.81,-1.67,0.00
